fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
5.8,0.23,0.31,4.5,0.046,42,124,0.99324,3.31,0.64,10.8,6
7.3,0.17,0.36,8.2,0.028,44,111,0.99272,3.14,0.41,12.4,6
8.3,0.14,0.34,1.1,0.042,7,47,0.9934,3.47,0.4,10.2,6
6.2,0.345,0.27,10.1,0.056,38,187,0.99486,3.31,0.56,10.6,5
6.9,0.3,0.25,3.3,0.041,26,124,0.99428,3.18,0.5,9.3,6
6.8,0.18,0.21,5.4,0.053,34,104,0.99445,3.3,0.43,9.4,5
7.2,0.25,0.19,8,0.044,51,172,0.9964,3.16,0.44,9.2,5
6.8,0.19,0.36,1.9,0.035,30,96,0.9917,3.15,0.54,10.8,7
7.0,0.29,0.49,3.8,0.047,37,136,0.9938,2.95,0.4,9.4,6
7.3,0.2,0.37,1.2,0.037,48,119,0.992,3.32,0.49,10.9,6
7.6,0.19,0.32,18.75,0.047,32,193,1.00014,3.1,0.5,9.3,7
5.6,0.28,0.27,3.9,0.043,52,158,0.99202,3.35,0.44,10.7,7
6.7,0.11,0.34,8.8,0.043,41,113,0.9962,3.42,0.4,9.3,7
7.4,0.24,0.29,10.1,0.05,21,105,0.9962,3.13,0.35,9.5,5
7.9,0.17,0.32,1.6,0.053,47,150,0.9948,3.29,0.76,9.6,6
8.0,0.14,0.49,1.5,0.035,42,120,0.9928,3.26,0.4,10.6,7
6.7,0.12,0.36,2.3,0.039,43,125,0.99229,3.07,0.67,10.1,7
6.4,0.18,0.74,11.9,0.046,54,168,0.9978,3.58,0.68,10.1,5
5.8,0.28,0.35,2.3,0.053,36,114,0.9924,3.28,0.5,10.2,4
7.1,0.18,0.36,1.4,0.043,31,87,0.9898,3.26,0.37,12.7,7
6.7,0.27,0.3,13.9,0.029,34,131,0.9953,3.36,0.5,12.0,7
6.7,0.35,0.32,9,0.032,29,113,0.99188,3.13,0.65,12.9,7
8.1,0.27,0.33,1.3,0.045,26,100,0.99066,2.98,0.44,12.4,6
6.7,0.36,0.26,7.9,0.034,39,123,0.99119,2.99,0.3,12.2,7
7.7,0.3,0.26,18.95,0.053,36,174,0.99976,3.2,0.5,10.4,5
6.3,0.6,0.44,11,0.05,50,245,0.9972,3.19,0.57,9.3,4
6.6,0.2,0.27,10.9,0.038,29,130,0.99496,3.11,0.44,10.5,7
6.6,0.18,0.35,1.5,0.049,49,141,0.9934,3.43,0.85,10.2,7
7.0,0.16,0.25,14.3,0.044,27,149,0.998,2.91,0.46,9.2,6
5.4,0.29,0.47,3,0.052,47,145,0.993,3.29,0.75,10.0,6
6.3,0.27,0.37,7.9,0.047,58,215,0.99542,3.19,0.48,9.5,6
6.4,0.22,0.34,1.4,0.023,56,115,0.98958,3.18,0.7,11.7,6
6.5,0.18,0.26,1.4,0.041,40,141,0.9941,3.34,0.72,9.5,6
7.5,0.23,0.49,7.7,0.049,61,209,0.9941,3.14,0.3,11.1,7
6.6,0.29,0.73,2.2,0.027,21,92,0.99,3.12,0.48,12.4,6
7.9,0.18,0.37,3,0.061,25,178,0.995,3.22,0.51,10.0,6
7.8,0.31,0.4,1.6,0.027,20,87,0.9911,3.15,0.48,11.9,6
7.1,0.23,0.35,16.5,0.04,60,171,0.999,3.16,0.59,9.1,6
7.4,0.16,0.32,1.4,0.065,23,140,0.99134,3.06,0.47,11.4,6
7.1,0.32,0.29,4,0.038,33,170,0.99463,3.27,0.64,10.2,6
6.6,0.19,0.41,8.9,0.046,51,169,0.9954,3.14,0.57,9.8,6
7.4,0.24,0.36,2,0.031,27,139,0.99055,3.28,0.48,12.5,9
7.2,0.16,0.35,1.2,0.031,27,84,0.9928,3.33,0.34,9.9,5
6.8,0.63,0.04,1.3,0.058,25,133,0.99271,3.17,0.39,10.2,4
6.7,0.11,0.26,14.8,0.053,44,95,0.99676,3.2,0.35,9.8,6
5.3,0.32,0.23,9.65,0.026,26,119,0.99168,3.18,0.53,12.2,6
5.6,0.18,0.58,1.25,0.034,29,129,0.98984,3.51,0.6,12.0,7
6.4,0.27,0.32,4.5,0.24,61,174,0.9948,3.12,0.48,9.4,5
7.0,0.3,0.51,13.6,0.05,40,168,0.9976,3.07,0.52,9.6,7
6.5,0.28,0.34,3.6,0.04,29,121,0.99111,3.28,0.48,12.1,7
7.2,0.32,0.24,5.6,0.033,23,120,0.99334,2.92,0.66,10.3,7
5.8,0.3,0.42,1.1,0.036,19,113,0.98871,3.1,0.46,12.6,7
6.6,0.35,0.34,4.9,0.032,9,125,0.99253,3.32,0.81,12.0,5
6.4,0.3,0.45,3.5,0.197,76,180,0.9942,3.02,0.39,9.1,6
6.5,0.35,0.28,12.4,0.051,86,213,0.9962,3.16,0.51,9.9,6
7.6,0.22,0.34,9.7,0.035,26,143,0.9965,3.08,0.49,9.8,6
6.4,0.16,0.44,1.2,0.051,39,122,0.99058,3.11,0.75,11.3,7
7.6,0.31,0.26,1.7,0.073,40,157,0.9938,3.1,0.46,9.8,5
6.8,0.29,0.56,11.9,0.043,66,230,0.9972,3.02,0.63,9.3,5
6.7,0.39,0.31,2.7,0.054,27,202,0.9948,3.46,0.57,10.5,6
6.2,0.3,0.21,1.1,0.032,31,111,0.9889,2.97,0.42,12.2,6
6.6,0.17,0.26,7.4,0.052,45,128,0.99388,3.16,0.37,10.0,6
5.2,0.38,0.26,7.7,0.053,20,103,0.9925,3.27,0.45,12.2,6
8.3,0.24,0.27,2.1,0.03,22,162,0.9914,2.99,0.68,11.9,6
9.8,0.93,0.45,8.6,0.052,34,187,0.9994,3.12,0.59,10.2,4
6.6,0.32,0.27,10.9,0.041,37,146,0.9963,3.24,0.47,10.0,5
6.0,0.26,0.18,7,0.055,50,194,0.99591,3.21,0.43,9.0,5
6.4,0.1,0.35,4.9,0.048,31,103,0.9947,3.43,0.79,9.7,6
6.7,0.19,0.41,15.6,0.056,75,155,0.9995,3.2,0.44,8.8,6
6.4,0.34,0.1,1.1,0.048,19,84,0.9927,3.21,0.38,9.8,5
7.0,0.3,0.51,13.6,0.05,40,168,0.9976,3.07,0.52,9.6,7
6.3,0.28,0.3,3.1,0.039,24,115,0.9942,3.05,0.43,8.6,5
6.7,0.24,0.31,2.3,0.044,37,113,0.99013,3.29,0.46,12.9,6
6.9,0.19,0.33,1.6,0.043,63,149,0.9925,3.44,0.52,10.8,5
6.5,0.5,0.22,4.1,0.036,35,131,0.9902,3.26,0.55,13.0,7
6.7,0.13,0.28,1.2,0.046,35,140,0.9927,3.33,0.33,10.1,7
6.4,0.34,0.2,14.9,0.06,37,162,0.9983,3.13,0.45,9.0,4
5.8,0.31,0.31,7.5,0.052,55,230,0.9949,3.19,0.46,9.8,5
5.7,0.26,0.25,10.4,0.02,7,57,0.994,3.39,0.37,10.6,5
6.6,0.21,0.29,1.8,0.026,35,128,0.99183,3.37,0.48,11.2,6
5.6,0.26,0.26,5.7,0.031,12,80,0.9923,3.25,0.38,10.8,5
6.8,0.35,0.53,10.1,0.053,37,151,0.9963,3.07,0.4,9.4,5
6.8,0.24,0.34,5.1,0.038,31,99,0.9921,3.24,0.46,11.8,6
6.8,0.36,0.32,1.6,0.039,10,124,0.9948,3.3,0.67,9.6,5
5.2,0.34,0.37,6.2,0.031,42,133,0.99076,3.25,0.41,12.5,6
6.5,0.28,0.34,4.6,0.054,22,130,0.99193,3.2,0.46,12.0,7
6.1,0.22,0.25,12.1,0.035,54,135,0.99481,3.21,0.4,10.7,5
6.9,0.32,0.26,2.3,0.03,11,103,0.99106,3.06,0.42,11.1,6
7.3,0.25,0.36,13.1,0.05,35,200,0.9986,3.04,0.46,8.9,7
6.5,0.32,0.12,11.5,0.033,35,165,0.9974,3.22,0.32,9.0,5
6.4,0.17,0.32,2.4,0.048,41,200,0.9938,3.5,0.5,9.7,6
6.6,0.22,0.23,17.3,0.047,37,118,0.99906,3.08,0.46,8.8,6
8.0,0.26,0.28,8.2,0.038,72,202,0.99566,3.12,0.56,10.0,6
7.1,0.53,0.24,0.8,0.029,29,86,0.993,3.16,0.32,9.1,4
7.1,0.17,0.31,1.6,0.037,15,103,0.991,3.14,0.5,12.0,6
6.2,0.17,0.28,4.7,0.037,39,133,0.9931,3.41,0.46,10.8,7
7.6,0.27,0.34,5,0.04,18,56,0.99084,3.06,0.48,12.4,6
7.1,0.16,0.36,10.7,0.044,20,90,0.9959,3.16,0.44,10.9,7
6.7,0.17,0.37,2,0.039,34,125,0.9922,3.26,0.6,10.8,7
6.6,0.23,0.32,1.7,0.024,26,102,0.99084,3.29,0.6,11.8,6
8.0,0.24,0.26,1.7,0.033,36,136,0.99316,3.44,0.51,10.4,7
5.1,0.11,0.32,1.6,0.028,12,90,0.99008,3.57,0.52,12.2,6
7.4,0.27,0.49,1.1,0.037,33,156,0.992,3.15,0.54,11.1,6
7.0,0.15,0.28,14.7,0.051,29,149,0.99792,2.96,0.39,9.0,7
5.6,0.29,0.05,0.8,0.038,11,30,0.9924,3.36,0.35,9.2,5
8.2,0.32,0.26,2.1,0.062,26,87,0.98974,3.1,0.47,12.8,6
6.0,0.27,0.28,4.8,0.063,31,201,0.9964,3.69,0.71,10.0,5
7.0,0.25,0.33,2.1,0.021,17,76,0.99021,3.26,0.45,12.3,6
6.7,0.21,0.42,9.1,0.049,31,150,0.9953,3.12,0.74,9.9,7
6.4,0.27,0.19,1.9,0.085,21,196,0.99516,3.49,0.64,9.5,4
5.6,0.205,0.16,12.55,0.051,31,115,0.99564,3.4,0.38,10.8,6
7.0,0.32,0.27,7.1,0.027,37,122,0.99165,3.15,0.6,12.6,7
6.2,0.23,0.36,17.2,0.039,37,130,0.99946,3.23,0.43,8.8,6
6.9,0.4,0.56,11.2,0.043,40,142,0.9975,3.14,0.46,8.7,5
6.8,0.28,0.35,2.3,0.042,16,85,0.9906,3.19,0.56,12.4,6
6.8,0.24,0.31,18.3,0.046,40,142,1,3.3,0.41,8.7,5
6.8,0.39,0.31,14.35,0.043,28,162,0.9988,3.17,0.54,9.1,5
5.6,0.21,0.4,1.3,0.041,81,147,0.9901,3.22,0.95,11.6,8
7.4,0.19,0.3,12.8,0.053,48.5,229,0.9986,3.14,0.49,9.1,7
9.5,0.21,0.47,1.3,0.039,21,123,0.9959,2.9,0.64,9.5,5
6.5,0.25,0.32,9.9,0.045,41,128,0.99636,3.18,0.52,9.6,6
7.1,0.36,0.24,1.8,0.025,32,102,0.9903,3.34,0.59,12.8,6
8.3,0.2,0.74,4.45,0.044,33,130,0.9924,3.25,0.42,12.2,6
6.4,0.35,0.2,5.7,0.034,18,117,0.9944,3.33,0.43,10.1,5
6.2,0.23,0.23,1.2,0.018,18,128,0.99178,3.05,0.28,10.6,5
7.3,0.21,0.49,1.8,0.038,44,152,0.9912,3.32,0.44,12.6,7
9.6,0.29,0.46,1.45,0.039,77.5,223,0.9944,2.92,0.46,9.5,6
6.4,0.69,0.09,7.6,0.044,34,144,0.9948,3.26,0.38,10.1,6
6.0,0.21,0.3,8.7,0.036,47,127,0.99368,3.18,0.39,10.6,5
6.4,0.22,0.38,9.1,0.044,35,127,0.99326,2.97,0.3,11.0,7
5.8,0.2,0.27,1.4,0.031,12,77,0.9905,3.25,0.36,10.9,7
7.5,0.35,0.37,2.5,0.066,29,89,0.98964,3.14,0.42,12.7,6
7.7,0.39,0.28,4.9,0.035,36,109,0.9918,3.19,0.58,12.2,7
