fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
5.9,0.29,0.32,1.4,0.022,17,47,0.9899,3.35,0.35,11.5,6
6.6,0.22,0.36,5.5,0.029,30,105,0.99206,3.2,0.47,11.8,6
6.4,0.24,0.25,20.2,0.083,35,157,0.99976,3.17,0.5,9.1,5
7.9,0.12,0.49,5.2,0.049,33,152,0.9952,3.18,0.47,10.6,6
5.8,0.29,0.38,10.7,0.038,49,136,0.99366,3.11,0.59,11.2,6
7.0,0.28,0.39,8.7,0.051,32,141,0.9961,3.38,0.53,10.5,6
8.0,0.33,0.35,10,0.035,22,108,0.99457,3.12,0.36,11.6,6
8.0,0.29,0.49,11.7,0.035,40,131,0.9958,3.14,0.34,10.8,5
7.4,0.3,0.22,5.25,0.053,33,180,0.9926,3.13,0.45,11.6,6
7.3,0.21,0.49,1.8,0.038,44,152,0.9912,3.32,0.44,12.6,7
6.5,0.34,0.36,11,0.052,53,247,0.9984,3.44,0.55,9.3,6
6.2,0.25,0.31,3.2,0.03,32,150,0.99014,3.18,0.31,12.0,6
7.0,0.17,0.37,5.7,0.025,29,111,0.9938,3.2,0.49,10.8,6
6.5,0.33,0.28,6.1,0.018,41,103,0.99122,3.24,0.32,12.2,6
8.9,0.32,0.49,1.6,0.05,17,131,0.9956,3.13,0.34,9.4,5
6.6,0.24,0.38,12.75,0.034,8,74,0.99386,3.1,0.57,12.9,6
5.7,0.28,0.3,3.9,0.026,36,105,0.98963,3.26,0.58,12.75,6
7.1,0.44,0.62,11.8,0.044,52,152,0.9975,3.12,0.46,8.7,6
7.6,0.26,0.47,1.6,0.068,5,55,0.9944,3.1,0.45,9.6,5
7.2,0.34,0.44,4.2,0.047,51,144,0.991,3.01,0.76,12.3,6
6.0,0.32,0.3,1.9,0.033,41,142,0.98912,3.29,0.42,12.8,7
7.2,0.26,0.3,2.1,0.033,50,158,0.9909,3.33,0.43,12.1,7
6.1,0.2,0.25,1.2,0.038,34,128,0.9921,3.24,0.44,10.1,5
5.5,0.12,0.33,1,0.038,23,131,0.99164,3.25,0.45,9.8,5
7.1,0.15,0.34,1,0.033,27,73,0.98974,3.24,0.41,12.2,6
5.4,0.22,0.35,6.5,0.029,26,87,0.99092,3.29,0.44,12.5,7
6.3,0.29,0.14,7.05,0.045,50,177,0.99564,3.23,0.42,9.0,5
7.0,0.34,0.1,3.5,0.044,17,63,0.9937,3.01,0.39,9.2,5
7.0,0.32,0.29,7.6,0.025,35,124,0.99162,3.15,0.65,12.8,7
7.7,0.34,0.58,11.1,0.039,41,151,0.9978,3.06,0.49,8.6,5
6.6,0.27,0.29,5.3,0.045,57,189,0.9953,3.31,0.79,9.8,5
9.2,0.28,0.41,1,0.042,14,59,0.9922,2.96,0.25,10.5,6
6.6,0.22,0.23,17.3,0.047,37,118,0.99906,3.08,0.46,8.8,6
6.8,0.31,0.42,6.9,0.046,50,173,0.9958,3.19,0.46,9.0,5
6.2,0.2,0.28,1.1,0.039,24,78,0.9899,3.36,0.47,12.1,6
6.3,0.23,0.21,5.1,0.035,29,142,0.9942,3.36,0.33,10.1,7
7.5,0.32,0.26,1.8,0.042,13,133,0.9938,3.07,0.38,9.5,5
7.8,0.22,0.38,10.3,0.059,28,99,0.9967,3.12,0.47,10.0,6
7.1,0.32,0.34,14.5,0.039,46,150,0.995,3.38,0.5,12.5,8
5.8,0.38,0.26,1.1,0.058,20,140,0.99271,3.27,0.43,9.7,6
7.6,0.2,0.39,2.6,0.044,30,180,0.9941,3.46,0.44,10.8,7
6.8,0.3,0.33,12.8,0.041,60,168,0.99659,3.1,0.56,9.8,5
8.2,0.35,0.4,6.3,0.039,35,162,0.9936,3.15,0.34,11.9,7
6.0,0.28,0.24,17.8,0.047,42,111,0.99896,3.1,0.45,8.9,6
8.4,0.2,0.38,11.8,0.055,51,170,1.0004,3.34,0.82,8.9,6
6.1,0.38,0.42,5,0.016,31,113,0.99007,3.15,0.31,12.4,7
7.0,0.22,0.26,2.8,0.036,44,132,0.99078,3.34,0.41,12.0,7
8.6,0.17,0.28,2.7,0.047,38,150,0.99365,3.1,0.56,10.8,6
8.4,0.22,0.3,8.9,0.024,17,118,0.99456,2.99,0.34,10.5,6
6.8,0.28,0.4,22,0.048,48,167,1.001,2.93,0.5,8.7,5
7.1,0.21,0.31,3.8,0.021,40,142,0.99215,3.17,0.39,10.8,7
7.1,0.22,0.32,16.9,0.056,49,158,0.9998,3.37,0.38,9.6,6
5.7,0.25,0.21,1.5,0.044,21,108,0.99142,3.3,0.59,11.0,6
6.3,0.19,0.28,1.8,0.022,28,158,0.9907,3.2,0.64,11.4,6
6.7,0.24,0.3,10.2,0.07,44,179,0.99666,2.86,0.46,8.9,6
6.4,0.12,0.49,6.4,0.042,49,161,0.9945,3.34,0.44,10.4,6
7.0,0.23,0.32,1.8,0.048,25,113,0.9915,3.11,0.47,11.1,6
6.3,0.33,0.2,17.9,0.066,36,161,0.9991,3.14,0.51,8.8,5
7.7,0.12,0.32,1.4,0.06,47,150,0.9952,3.37,0.42,9.2,6
7.3,0.24,0.34,15.4,0.05,38,174,0.9983,3.03,0.42,9.0,6
6.8,0.73,0.2,6.6,0.054,25,65,0.99324,3.12,0.28,11.1,4
6.0,0.34,0.29,6.1,0.046,29,134,0.99462,3.48,0.57,10.7,6
8.2,0.37,0.36,1,0.034,17,93,0.9906,3.04,0.32,11.7,8
5.8,0.19,0.49,4.9,0.04,44,118,0.9935,3.34,0.38,9.5,7
6.6,0.2,0.14,4.4,0.184,35,168,0.99396,2.93,0.45,9.4,6
5.9,0.18,0.28,1,0.037,24,88,0.99094,3.29,0.55,10.65,7
5.6,0.12,0.33,2.9,0.044,21,73,0.98896,3.17,0.32,12.9,8
7.0,0.36,0.32,10.5,0.045,35,135,0.9935,3.09,0.33,11.6,8
6.7,0.15,0.32,7.9,0.034,17,81,0.99512,3.29,0.31,10.0,6
7.4,0.32,0.27,1.4,0.049,38,173,0.99335,3.03,0.52,9.3,5
6.6,0.27,0.25,3.1,0.052,41,188,0.9915,3.24,0.4,11.3,5
6.9,0.25,0.33,1.2,0.035,35,158,0.99082,3.02,0.58,11.3,6
8.3,0.2,0.74,4.45,0.044,33,130,0.9924,3.25,0.42,12.2,6
6.7,0.25,0.26,1.55,0.041,118.5,216,0.9949,3.55,0.63,9.4,3
6.8,0.32,0.23,3.3,0.026,31,99,0.9896,3.1,0.4,12.4,6
6.4,0.4,0.19,3.2,0.033,28,124,0.9904,3.22,0.54,12.7,7
7.8,0.21,0.34,11.9,0.039,55,140,0.9959,3.02,0.31,10.3,6
6.6,0.78,0.5,1.5,0.045,30,133,0.99104,3.25,0.48,11.7,5
6.0,0.28,0.52,6.2,0.028,37,104,0.99161,3.28,0.51,11.8,7
6.6,0.42,0.13,12.8,0.044,26,158,0.99772,3.24,0.47,9.0,5
7.2,0.4,0.49,1.1,0.048,11,138,0.9929,3.01,0.42,9.3,5
5.8,0.18,0.28,1.3,0.034,9,94,0.99092,3.21,0.52,11.2,6
6.6,0.26,0.24,7.2,0.038,28,137,0.9952,3.35,0.6,10.4,6
7.4,0.21,0.3,8.1,0.047,13,114,0.9941,3.12,0.35,10.5,6
5.9,0.26,0.29,5.4,0.046,34,116,0.99224,3.24,0.41,11.4,6
6.3,0.2,0.26,4.7,0.04,108,168,0.99278,3.07,0.75,10.7,7
6.2,0.2,0.49,1.6,0.065,17,143,0.9937,3.22,0.52,9.2,6
6.9,0.24,0.36,20.8,0.031,40,139,0.9975,3.2,0.33,11.0,6
5.1,0.21,0.28,1.4,0.047,48,148,0.99168,3.5,0.49,10.4,5
6.3,0.2,0.18,10.6,0.045,57,159,0.99666,3.09,0.54,9.2,5
6.6,0.33,0.24,16.05,0.045,31,147,0.99822,3.08,0.52,9.2,5
6.8,0.63,0.04,1.3,0.058,25,133,0.99271,3.17,0.39,10.2,4
6.8,0.26,0.32,7,0.041,38,118,0.9939,3.25,0.52,10.8,6
6.4,0.22,0.38,9.1,0.044,35,127,0.99326,2.97,0.3,11.0,7
7.4,0.16,0.27,15.5,0.05,25,135,0.9984,2.9,0.43,8.7,7
6.8,0.27,0.3,13,0.047,69,160,0.99705,3.16,0.5,9.6,6
7.7,0.42,0.38,8.1,0.061,49,144,0.9966,3.4,0.58,11.0,6
6.0,0.2,0.33,1.1,0.039,45,126,0.99051,3.31,0.45,11.6,7
7.3,0.26,0.36,5.2,0.04,31,141,0.9931,3.16,0.59,11.0,6
8.7,0.34,0.46,13.8,0.055,68,198,0.9988,3.36,0.37,9.5,6
8.3,0.19,0.49,1.2,0.051,11,137,0.9918,3.06,0.46,11.0,6
6.8,0.13,0.39,1.4,0.034,19,102,0.99121,3.23,0.6,11.3,7
8.1,0.2,0.36,9.7,0.044,63,162,0.997,3.1,0.46,10.0,6
6.4,0.17,0.32,2.4,0.048,41,200,0.9938,3.5,0.5,9.7,6
7.3,0.24,0.39,3.6,0.024,35,116,0.9928,3.17,0.51,10.9,5
5.8,0.27,0.2,14.95,0.044,22,179,0.9962,3.37,0.37,10.2,5
5.4,0.33,0.31,4,0.03,27,108,0.99031,3.3,0.43,12.2,7
7.5,0.25,0.47,4.1,0.041,95,163,0.99184,2.92,0.59,11.3,6
7.7,0.27,0.49,3.8,0.037,46,139,0.99116,3.04,0.38,11.6,6
6.8,0.19,0.33,4.9,0.047,42,130,0.99283,3.12,0.56,11.0,6
6.8,0.17,0.32,1.4,0.04,35,106,0.99026,3.16,0.66,12.0,5
6.4,0.125,0.36,1.4,0.044,22,68,0.99014,3.15,0.5,11.7,7
6.7,0.64,0.3,1.2,0.03,18,76,0.9892,3.16,0.6,12.9,4
8.2,0.22,0.3,1.8,0.047,47,185,0.9933,3.13,0.5,10.2,6
8.1,0.26,0.37,1.9,0.072,48,159,0.9949,3.37,0.7,10.9,6
7.1,0.09,0.3,6.2,0.032,24,134,0.993,2.99,0.39,10.9,6
6.4,0.38,0.2,5.3,0.117,57,181,0.99459,3.24,0.43,9.5,6
7.0,0.21,0.42,5.3,0.037,36,123,0.99321,3.14,0.52,10.9,6
5.9,0.44,0.36,2.5,0.03,12,73,0.99201,3.22,0.48,10.8,6
6.2,0.24,0.22,7.9,0.053,45,149,0.99545,3.23,0.52,9.3,5
8.2,0.42,0.29,4.1,0.03,31,100,0.9911,3.0,0.32,12.8,7
4.8,0.29,0.23,1.1,0.044,38,180,0.98924,3.28,0.34,11.9,6
6.9,0.26,0.38,10.5,0.044,33,139,0.99517,3.06,0.5,10.3,6
6.8,0.21,0.26,11.7,0.038,61,152,0.99523,3.02,0.56,10.5,7
7.8,0.26,0.74,7.5,0.044,59,160,0.996,3.22,0.64,10.0,6
7.4,0.16,0.3,13.7,0.056,33,168,0.99825,2.9,0.44,8.7,7
7.7,0.24,0.31,1.3,0.047,33,106,0.993,3.22,0.55,10.8,6
8.0,0.24,0.36,1.5,0.047,17,129,0.9948,3.2,0.54,10.0,6
8.1,0.17,0.44,14.1,0.053,43,145,1.0006,3.28,0.75,8.8,8
6.8,0.22,0.35,5.5,0.043,21,114,0.9938,3.3,0.53,10.7,7
5.7,0.22,0.2,16,0.044,41,113,0.99862,3.22,0.46,8.9,6
4.7,0.785,0.0,3.4,0.036,23,134,0.98981,3.53,0.92,13.8,6
7.9,0.19,0.26,2.1,0.039,8,143,0.9942,3.05,0.74,9.8,5
7.4,0.27,0.26,11.8,0.053,55,173,0.99699,3.11,0.6,9.8,5
6.9,0.2,0.5,10,0.036,78,167,0.9964,3.15,0.55,10.2,6
6.0,0.14,0.37,1.2,0.032,63,148,0.99185,3.32,0.44,11.2,5
7.3,0.32,0.35,1.4,0.05,8,163,0.99244,3.24,0.42,10.7,5
6.9,0.21,0.33,1.4,0.056,35,136,0.9938,3.63,0.78,10.3,6
7.5,0.22,0.32,2.4,0.045,29,100,0.99135,3.08,0.6,11.3,7
6.0,0.17,0.3,7.3,0.039,39,104,0.99252,2.91,0.57,11.0,6
6.0,0.24,0.27,1.9,0.048,40,170,0.9938,3.64,0.54,10.0,7
6.1,0.17,0.28,4.5,0.033,46,150,0.9933,3.43,0.49,10.9,6
7.0,0.23,0.26,7.2,0.041,21,90,0.99509,3.22,0.55,9.5,6
5.3,0.3,0.16,4.2,0.029,37,100,0.9905,3.3,0.36,11.8,8
6.7,0.26,0.3,1.8,0.043,25,121,0.9944,3.44,0.61,10.2,6
6.8,0.26,0.42,1.7,0.049,41,122,0.993,3.47,0.48,10.5,8
6.5,0.46,0.31,5,0.027,15,72,0.99165,3.26,0.6,11.5,7
7.3,0.19,0.49,15.55,0.058,50,134,0.9998,3.42,0.36,9.1,7
7.4,0.31,0.26,8.6,0.048,47,206,0.9964,3.26,0.36,9.1,5
6.4,0.43,0.27,1.1,0.054,5,110,0.9939,3.24,0.52,9.1,4
6.8,0.2,0.28,12.6,0.048,54,136,0.99556,3.19,0.37,10.7,6
7.1,0.29,0.3,16,0.036,58,201,0.99954,3.3,0.67,9.0,5
7.8,0.26,0.27,1.9,0.051,52,195,0.9928,3.23,0.5,10.9,6
6.7,0.11,0.26,14.8,0.053,44,95,0.99676,3.2,0.35,9.8,6
7.0,0.36,0.35,2.5,0.048,67,161,0.99146,3.05,0.56,11.1,6
7.7,0.31,0.36,4.3,0.026,15,87,0.99152,3.11,0.48,12.0,5
6.5,0.13,0.37,1,0.036,48,114,0.9911,3.41,0.51,11.5,8
6.4,0.38,0.26,8.2,0.043,28,98,0.99234,2.99,0.31,11.4,6
6.3,0.27,0.46,11.75,0.037,61,212,0.9971,3.25,0.53,9.5,6
7.7,0.39,0.3,5.2,0.037,29,131,0.9943,3.38,0.44,11.0,6
5.5,0.485,0.0,1.5,0.065,8,103,0.994,3.63,0.4,9.7,4
5.9,0.17,0.3,1.4,0.042,25,119,0.9931,3.68,0.72,10.5,6
7.9,0.31,0.22,13.3,0.048,46,212,0.99942,3.47,0.59,10.0,5
7.1,0.16,0.36,10.7,0.044,20,90,0.9959,3.16,0.44,10.9,7
5.9,0.34,0.3,3.8,0.035,57,135,0.99016,3.09,0.34,12.0,6
7.4,0.36,0.23,1.9,0.017,31,69,0.9892,2.93,0.36,12.5,6
7.1,0.2,0.37,1.5,0.049,28,129,0.99226,3.15,0.52,10.8,5
6.3,0.23,0.49,7.1,0.05,67,210,0.9951,3.23,0.34,9.5,5
6.8,0.39,0.35,11.6,0.044,57,220,0.99775,3.07,0.53,9.3,5
6.1,0.24,0.32,9,0.031,41,134,0.99234,3.25,0.26,12.3,7
6.7,0.31,0.18,7.7,0.043,57,200,0.99566,3.17,0.44,9.4,6
5.6,0.18,0.31,1.5,0.038,16,84,0.9924,3.34,0.58,10.1,6
6.2,0.32,0.32,2.2,0.036,15,70,0.9899,3.16,0.48,12.7,6
7.8,0.3,0.29,16.85,0.054,23,135,0.9998,3.16,0.38,9.0,6
7.3,0.18,0.29,1.2,0.044,12,143,0.9918,3.2,0.48,11.3,7
7.4,0.19,0.31,14.5,0.045,39,193,0.9986,3.1,0.5,9.2,6
6.3,0.27,0.51,7.6,0.049,35,200,0.99548,3.16,0.54,9.4,4
6.0,0.25,0.28,2.2,0.026,54,126,0.9898,3.43,0.65,12.9,8
8.1,0.2,0.3,1.3,0.036,7,49,0.99242,2.99,0.73,10.3,5
7.8,0.27,0.35,1.2,0.05,36,140,0.99138,3.09,0.45,11.2,5
6.2,0.27,0.32,6.3,0.048,47,159,0.99282,3.21,0.6,11.0,6
5.9,0.19,0.37,0.8,0.027,3,21,0.9897,3.09,0.31,10.8,5
6.6,0.5,0.26,11.3,0.029,32,110,0.99302,3.27,0.78,12.9,8
7.8,0.34,0.35,1.8,0.042,8,167,0.9908,3.11,0.41,12.1,6
5.7,0.15,0.28,3.7,0.045,57,151,0.9913,3.22,0.27,11.2,6
4.8,0.34,0.0,6.5,0.028,33,163,0.9939,3.36,0.61,9.9,6
4.9,0.47,0.17,1.9,0.035,60,148,0.98964,3.27,0.35,11.5,6
6.7,0.36,0.26,7.9,0.034,39,123,0.99119,2.99,0.3,12.2,7
7.5,0.21,0.34,1.2,0.06,26,111,0.9931,3.51,0.47,10.7,6
6.7,0.27,0.31,15.7,0.036,44,179,0.9979,3.26,0.56,9.6,5
8.0,0.27,0.57,10.4,0.053,18,134,0.99732,3.12,0.68,9.0,5
6.5,0.52,0.17,1.4,0.047,5,26,0.9932,3.26,0.32,10.0,4
7.7,0.24,0.29,15.3,0.044,39,194,0.9982,3.06,0.47,9.6,7
7.0,0.16,0.36,2.6,0.029,28,98,0.99126,3.11,0.37,11.2,7
7.0,0.22,0.28,1.5,0.037,29,115,0.9927,3.11,0.55,10.5,6
6.2,0.27,0.18,1.5,0.028,20,111,0.99228,3.41,0.5,10.0,5
5.6,0.35,0.4,6.3,0.022,23,174,0.9922,3.54,0.5,11.6,7
7.2,0.21,0.29,3.1,0.044,39,122,0.99143,3.0,0.6,11.3,6
5.7,0.21,0.25,1.1,0.035,26,81,0.9902,3.31,0.52,11.4,6
6.3,0.27,0.49,1.2,0.063,35,92,0.9911,3.38,0.42,12.2,6
6.0,0.4,0.3,1.6,0.047,30,117,0.9931,3.17,0.48,10.1,6
5.6,0.34,0.1,1.3,0.031,20,68,0.9906,3.36,0.51,11.2,7
7.8,0.3,0.74,1.8,0.033,33,156,0.991,3.29,0.52,12.8,6
8.2,0.4,0.48,13.7,0.042,59,169,0.9986,3.1,0.52,9.4,5
6.9,0.14,0.38,1,0.041,22,81,0.99043,3.03,0.54,11.4,6
6.9,0.33,0.26,5,0.027,46,143,0.9924,3.25,0.43,11.2,7
7.6,0.31,0.24,1.8,0.037,39,150,0.9913,3.05,0.44,11.8,7
7.0,0.53,0.43,6.1,0.029,6,76,0.99118,3.08,0.5,12.5,8
6.6,0.25,0.33,8.5,0.042,29,141,0.99546,3.28,0.6,10.4,5
5.6,0.24,0.34,2,0.041,14,73,0.98981,3.04,0.45,11.6,7
6.9,0.18,0.38,8.1,0.049,44,176,0.9958,3.3,0.54,9.8,6
8.0,0.28,0.42,7.1,0.045,41,169,0.9959,3.17,0.43,10.6,5
7.0,0.34,0.39,6.9,0.066,43,162,0.99561,3.11,0.53,9.5,5
7.9,0.51,0.36,6.2,0.051,30,173,0.9984,3.09,0.53,9.7,5
6.9,0.54,0.26,12.7,0.049,59,195,0.99596,3.26,0.54,10.5,6
7.9,0.345,0.51,15.3,0.047,54,171,0.9987,3.09,0.51,9.1,5
6.9,0.19,0.33,1.6,0.043,63,149,0.9925,3.44,0.52,10.8,5
4.8,0.65,0.12,1.1,0.013,4,10,0.99246,3.32,0.36,13.5,4
5.9,0.25,0.27,1.5,0.029,37,81,0.9892,3.2,0.46,12.2,6
6.0,0.35,0.46,0.9,0.033,9,65,0.98934,3.24,0.35,12.1,4
5.4,0.53,0.16,2.7,0.036,34,128,0.98856,3.2,0.53,13.2,8
7.2,0.23,0.38,14.3,0.058,55,194,0.9979,3.09,0.44,9.0,6
6.6,0.3,0.45,8,0.038,54,200,0.9956,3.18,0.48,9.5,5
6.7,0.24,0.41,9.4,0.04,49,166,0.9954,3.12,0.61,9.9,6
6.8,0.28,0.6,1.1,0.132,42,127,0.9934,3.09,0.44,9.1,6
6.6,0.36,0.21,1.5,0.049,39,184,0.9928,3.18,0.41,9.9,6
7.2,0.29,0.4,7.6,0.024,56,177,0.9928,3.04,0.32,11.5,6
5.6,0.32,0.33,7.4,0.037,25,95,0.99268,3.25,0.49,11.1,6
6.2,0.27,0.47,1.2,0.146,28,105,0.99224,3.23,0.51,10.1,5
6.0,0.24,0.33,2.5,0.026,31,85,0.99014,3.13,0.5,11.3,7
5.8,0.21,0.32,1.6,0.045,38,95,0.98946,3.23,0.94,12.4,8
6.7,0.34,0.54,16.3,0.047,44,181,0.9987,3.04,0.56,8.8,5
7.5,0.33,0.48,19.45,0.048,55,243,1.001,2.95,0.4,8.8,5
6.4,0.37,0.19,3.5,0.068,18,101,0.9934,3.03,0.38,9.0,6
5.7,0.29,0.16,7.9,0.044,48,197,0.99512,3.21,0.36,9.4,5
6.2,0.31,0.23,3.3,0.052,34,113,0.99429,3.16,0.48,8.4,5
6.7,0.28,0.28,2.4,0.012,36,100,0.99064,3.26,0.39,11.7,7
7.6,0.22,0.34,9.7,0.035,26,143,0.9965,3.08,0.49,9.8,6
7.1,0.38,0.29,13.6,0.041,30,137,0.99461,3.02,0.96,12.1,6
6.1,0.44,0.28,4.25,0.032,43,132,0.9916,3.26,0.47,11.3,7
7.7,0.39,0.34,10,0.056,35,178,0.9974,3.26,0.6,10.2,5
6.8,0.19,0.23,5.1,0.034,71,204,0.9942,3.23,0.69,10.1,5
7.7,0.46,0.18,3.3,0.054,18,143,0.99392,3.12,0.51,10.8,6
6.8,0.26,0.44,8.2,0.046,52,183,0.99584,3.2,0.51,9.4,5
6.2,0.24,0.27,2.9,0.039,30,123,0.98959,3.12,0.37,12.8,6
6.4,0.26,0.21,7.1,0.04,35,162,0.9956,3.39,0.58,9.9,6
6.5,0.29,0.31,1.7,0.035,24,79,0.99053,3.27,0.69,11.4,7
7.2,0.27,0.74,12.5,0.037,47,156,0.9981,3.04,0.44,8.7,5
7.0,0.22,0.24,11,0.041,75,167,0.99508,2.98,0.56,10.5,6
6.2,0.3,0.32,1.3,0.054,27,183,0.99266,3.3,0.43,10.1,5
5.9,0.21,0.23,7.9,0.033,22,130,0.9944,3.38,0.59,10.9,6
6.0,0.26,0.18,7,0.055,50,194,0.99591,3.21,0.43,9.0,5
6.6,0.26,0.25,11.6,0.045,45,178,0.99691,3.33,0.43,9.8,6
7.5,0.38,0.5,12.8,0.042,57,184,0.9984,3.09,0.46,9.0,6
6.3,0.23,0.31,1.5,0.022,11,82,0.9892,3.3,0.4,12.9,7
6.5,0.22,0.32,2.2,0.028,36,92,0.99076,3.27,0.59,11.9,7
7.8,0.21,0.39,1.8,0.034,62,180,0.991,3.09,0.75,12.6,8
6.2,0.3,0.31,1.2,0.048,19,125,0.98999,3.32,0.54,12.6,6
6.2,0.23,0.23,1.2,0.018,18,128,0.99178,3.05,0.28,10.6,5
6.0,0.2,0.24,1.8,0.03,30,105,0.9909,3.31,0.47,11.5,6
6.1,0.32,0.24,1.5,0.036,38,124,0.9898,3.29,0.42,12.4,7
4.9,0.345,0.34,1,0.068,32,143,0.99138,3.24,0.4,10.1,5
7.0,0.31,0.52,1.7,0.029,5,61,0.9918,3.07,0.43,10.4,5
6.9,0.25,0.4,1.3,0.038,22,101,0.9901,3.03,0.39,11.4,6
6.6,0.32,0.34,7.7,0.044,63,212,0.99526,3.22,0.48,9.7,6
3.8,0.31,0.02,11.1,0.036,20,114,0.99248,3.75,0.44,12.4,6
7.3,0.26,0.31,1.6,0.04,39,173,0.9918,3.19,0.51,11.4,6
6.1,0.16,0.29,6,0.03,29,144,0.99474,3.68,0.46,10.7,6
7.6,0.16,0.44,1.4,0.043,25,109,0.9932,3.11,0.75,10.3,6
6.2,0.33,0.19,5.6,0.042,22,143,0.99425,3.15,0.63,9.9,5
6.1,0.35,0.24,2.3,0.034,25,133,0.9906,3.34,0.59,12.0,7
6.0,0.36,0.39,3.2,0.027,20,125,0.991,3.38,0.39,11.3,7
6.3,0.23,0.3,1.8,0.033,16,91,0.9906,3.28,0.4,11.8,6
6.4,0.32,0.26,7.9,0.05,53,180,0.99514,3.14,0.5,9.6,5
5.9,0.29,0.16,7.9,0.044,48,197,0.99512,3.21,0.36,9.4,5
7.2,0.27,0.28,15.2,0.046,6,41,0.99665,3.17,0.39,10.9,6
7.8,0.25,0.34,13.7,0.044,66,184,0.99976,3.22,0.75,8.9,5
7.2,0.25,0.28,14.4,0.055,55,205,0.9986,3.12,0.38,9.0,7
7.2,0.26,0.24,7,0.023,19,130,0.99176,3.14,0.49,12.8,7
5.8,0.24,0.44,3.5,0.029,5,109,0.9913,3.53,0.43,11.7,3
